TU,Genes,regulator_notes,regulator_genes,Bnb,ECKnb,Promoter
actP,actP,DNA-binding transcriptional dual regulator Rob,rob,b4067,ECK4060,actPp
rnt-lhr,"rnt,lhr",,,"b1652,b1653","ECK1648,ECK1649",rntp
yajD,yajD,DNA-binding transcriptional dual regulator Nac,nac,b0410,ECK0404,
yfaE,yfaE,DNA-binding transcriptional dual regulator Nac,nac,b2236,ECK2228,
glrK,glrK,,,b2556,ECK2553,glrKp
glcC,glcC,"DNA-binding transcriptional dual regulator Cra,DNA-binding transcriptional dual regulator Fis,GlcC-glycolate DNA-binding transcriptional dual regulator,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator ArcA-phosphorylated","cra,fis,glcC,crp,arcA",b2980,ECK2975,glcCp
ydeP,ydeP,"DNA-binding transcriptional activator UvrY-phosphorylated,DNA-binding transcriptional dual regulator NarP-phosphorylated,DNA-binding transcriptional dual regulator NarL-phosphorylated,DNA-binding transcriptional dual regulator RcsB-phosphorylated,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator NagC,DNA-binding transcriptional dual regulator PhoP-phosphorylated,DNA-binding transcriptional activator EvgA-phosphorylated,DNA-binding transcriptional dual regulator Nac","uvrY,narP,narL,rcsB,hns,nagC,phoP,evgA,nac",b1501,ECK1494,ydePp
insL2,insL2,,,b0582,ECK0016,
ydfV,ydfV,,,b1565,ECK1559,
ycgZ-ymgA-ariR-ymgC,"ymgC,ariR,ymgA,ycgZ","DNA-binding transcriptional repressor BluR,DNA-binding transcriptional dual regulator MarA","bluR,marA","b1167,b1166,b1165,b1164","ECK1154,ECK1153,ECK1152,ECK1151",ycgZp2
yfiK,eamB,,,b2578,ECK2576,
hokE,hokE,DNA-binding transcriptional repressor LexA,lexA,b4415,ECK0574,hokEp
mscS,mscS,DNA-binding transcriptional dual regulator Lrp,lrp,b2924,ECK2920,mscSp
hokA,hokA,,,b4455,ECK3544,
clpPX,"clpP,clpX",DNA-binding transcriptional dual regulator Lrp,lrp,"b0437,b0438","ECK0431,ECK0432",clpPp1
ydjXYZ-ynjABCD,"ynjD,ynjC,ynjB,ynjA,ydjZ,ydjY,ydjX",,,"b1756,b1755,b1754,b1753,b1752,b1751,b1750","ECK1754,ECK1753,ECK1752,ECK1751,ECK1750,ECK1749,ECK1748",
yjiT,yjiT,,,b4342,ECK4333,yjiTp
yqjF,yqjF,DNA-binding transcriptional activator YhaJ,yhaJ,b3101,ECK3092,
hmp,hmp,"DNA-binding transcriptional dual regulator MetR,Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator NsrR","metR,fur,fnr,nsrR",b2552,ECK2549,hmpp
yhdT-panF-prmA,"yhdT,panF,prmA",,,"b3257,b3258,b3259","ECK3244,ECK3245,ECK3246",yhdTp
tsaE-amiB-mutL-miaA-hfq-hflXKC,"hflC,hflK,hflX,hfq,miaA,mutL,amiB,tsaE",DNA-binding transcriptional dual regulator Nac,nac,"b4175,b4174,b4173,b4172,b4171,b4170,b4169,b4168","ECK4171,ECK4170,ECK4169,ECK4168,ECK4167,ECK4166,ECK4165,ECK4164",tsaEp
yjbEFGH,"yjbH,yjbG,yjbF,yjbE","RcsAB DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator IHF","rcsB,rcsA,ihfA,ihfB","b4029,b4028,b4027,b4026","ECK4021,ECK4020,ECK4019,ECK4018",yjbEp1
mhpT,mhpT,DNA-binding transcriptional dual regulator NsrR,nsrR,b0353,ECK0350,mhpTp
ribA,ribA,,,b1277,ECK1272,ribAp2
yihUTS,"yihS,yihT,yihU",DNA-binding transcriptional dual regulator CsqR,csqR,"b3880,b3881,b3882","ECK3873,ECK3874,ECK3875",yihUp5
peaD,peaD,,,b4508,ECK0532,
glk,glk,DNA-binding transcriptional dual regulator Cra,cra,b2388,ECK2384,glkp4
alsRBACE,"alsE,alsC,alsA,alsB,alsR",DNA-binding transcriptional repressor AlsR,alsR,"b4085,b4086,b4087,b4088,b4089","ECK4078,ECK4079,ECK4080,ECK4081,ECK4082",alsRp1
dgcZ,dgcZ,"CysB-<i>O</i>-acetyl-L-serine DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator CpxR-phosphorylated,DNA-binding transcriptional dual regulator Lrp","cysB,cpxR,lrp",b1535,ECK1528,dgcZp
ybjP,ybjP,DNA-binding transcriptional dual regulator Nac,nac,b0865,ECK0856,ybjPp
yejK,yejK,,,b2186,ECK2180,
ydiL,ydiL,DNA-binding transcriptional dual regulator Nac,nac,b1689,ECK1687,
ygfM-xdhD,"xdhD,ygfM",,,"b2881,b2880","ECK2877,ECK2876",
fadE,fadE,"DNA-binding transcriptional dual regulator FadR,DNA-binding transcriptional dual regulator PdhR,DNA-binding transcriptional dual regulator OmpR-phosphorylated,DNA-binding transcriptional dual regulator ArcA-phosphorylated","fadR,pdhR,ompR,arcA",b0221,ECK0222,fadEp
adiA,adiA,"DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional activator AdiY,DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator TorR-phosphorylated","hns,adiY,ihfA,ihfB,torR",b4117,ECK4110,adiAp
hldE,hldE,,,b3052,ECK3042,
insB7,insB7,,,b4576,ECK0022,
menFD-yfbB-menBCE,"menE,menC,menB,menH,menD,menF",,,"b2260,b2261,b2262,b2263,b2264,b2265","ECK2254,ECK2255,ECK2256,ECK2257,ECK2258,ECK2259",
rnb,rnb,,,b1286,ECK1281,rnbp2
aroH,aroH,,,b1704,ECK1702,aroHp2
gadW,gadW,"DNA-binding transcriptional dual regulator YdeO,DNA-binding transcriptional activator ZraR-phosphorylated,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional repressor GlaR","ydeO,zraR,lrp,glaR",b3515,ECK3499,gadWp1
fliC,"fliX,fliC","DNA-binding transcriptional dual regulator MatA,DNA-binding transcriptional activator GadE,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Nac","matA,gadE,hns,nac","b4827,b1923","ECK4684,ECK1922",fliCp
uspB,uspB,DNA-binding transcriptional dual regulator IHF,"ihfA,ihfB",b3494,ECK3479,uspBp
ybaL,ybaL,DNA-binding transcriptional dual regulator Nac,nac,b0478,ECK0472,ybaLp
eaeH-insE1EF1F1,"insF1,insE1,insEF1,eaeH",,,"b0299,b0298,b0297","ECK0299,ECK0298,ECK0297",
lpxT,lpxT,,,b2174,ECK2168,lpxTp
rpoE-rseABC,"rseC,rseB,rseA,rpoE",DNA-binding transcriptional dual regulator Lrp,lrp,"b2570,b2571,b2572,b2573","ECK2568,ECK2569,ECK2570,ECK2571",rpoEp5
pgk-fbaA,"fbaA,pgk",,,"b2925,b2926","ECK2921,ECK2922",pgkp1
waaA,waaA,ArgR-L-arginine DNA-binding transcriptional dual regulator,argR,b3633,ECK3623,waaAp1
anmK,anmK,,,b1640,ECK1636,
ydeM,ydeM,,,b1497,ECK1491,
bisC,bisC,DNA-binding transcriptional dual regulator Nac,nac,b3551,ECK3538,
ydiP,ydiP,DNA-binding transcriptional dual regulator Nac,nac,b1696,ECK1694,ydiPp
plsC,plsC,,,b3018,ECK3009,
pbl,pbl,,,b2854,ECK2852,
glgS,glgS,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Rob","crp,rob",b3049,ECK3038,glgSp1
rhaBAD,"rhaD,rhaA,rhaB","RhaS-L-rhamnose DNA-binding transcriptional activator,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","rhaS,crp","b3902,b3903,b3904","ECK3895,ECK3896,ECK3897",rhaBp
yggG,loiP,,,b2936,ECK2931,loiPp
yjgH,yjgH,DNA-binding transcriptional dual regulator Nac,nac,b4248,ECK4242,
yjeFE-amiB-mutL-miaA-hfq-hflXKC,"hflC,hflK,hflX,hfq,miaA,mutL,amiB,tsaE,nnr",DNA-binding transcriptional dual regulator Nac,nac,"b4175,b4174,b4173,b4172,b4171,b4170,b4169,b4168,b4167","ECK4171,ECK4170,ECK4169,ECK4168,ECK4167,ECK4166,ECK4165,ECK4164,ECK4163",yjeFp2
mazEFG,"mazG,mazF,mazE","MazE-MazF antitoxin/toxin complex / DNA-binding transcriptional repressor,MazE antitoxin of the MazF-MazE toxin-antitoxin system / DNA-binding transcriptional repressor,DNA-binding transcriptional dual regulator Fis","mazF,mazE,fis","b2781,b2782,b2783","ECK2775,ECK2776,ECK2777",mazEp1
ykfBF-yafX-ykfGH-yafW-ykfI,"ykfI,yafW,ykfH,ykfG,yafX,ykfF,ykfB",,,"b0245,b0246,b4504,b0247,b0248,b0249,b0250","ECK0246,ECK0247,ECK0248,ECK0249,ECK0250,ECK0251,ECK0252",ykfBp1
ssrS-ygfA,"fau,ssrS","DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional repressor StpA with RNA chaperone activity,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator H-NS","fis,stpA,lrp,hns","b2912,b2911","ECK2907,ECK2906",ssrSp2
acnA,"ymiC,acnA",,,"b4741,b1276","ECK4598,ECK1271",acnAp1
ldcC,ldcC,DNA-binding transcriptional repressor GlaR,glaR,b0186,ECK0185,ldcCp
selD-topB,"topB,selD",,,"b1763,b1764","ECK1761,ECK1762",selDp2
yagAB-insX,"yagA,yagB,insX",XynR-D-xylonate,xynR,"b0267,b0266,b4505","ECK0268,ECK0267,ECK4473",
ybaV,ybaV,,,b0442,ECK0436,
accA,accA,DNA-binding transcriptional dual regulator FadR,fadR,b0185,ECK0184,accAp2
frlR,frlR,,,b3375,ECK3362,frlRp2
lepAB,"lepA,lepB",DNA-binding transcriptional dual regulator Nac,nac,"b2569,b2568","ECK2567,ECK2566",lepAp
slyB,slyB,DNA-binding transcriptional dual regulator PhoP-phosphorylated,phoP,b1641,ECK1637,slyBp1
mcbR,mcbR,DNA-binding transcriptional repressor YgiV,ygiV,b1450,ECK1444,
ynfA,ynfA,DNA-binding transcriptional dual regulator Nac,nac,b1582,ECK1577,
ycjG,ycjG,DNA-binding transcriptional repressor PgrR,pgrR,b1325,ECK1321,ycjGp
yghT,yghT,DNA-binding transcriptional dual regulator Nac,nac,b2986,ECK2980,
mutH,mutH,,,b2831,ECK2827,
trmB-yggL,"trmB,yggL",,,"b2960,b2959","ECK2955,ECK2954",
pstSCAB-phoU,"phoU,pstB,pstA,pstC,pstS","DNA-binding transcriptional dual regulator PhoB-phosphorylated,DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator Nac","phoB,ihfA,ihfB,fnr,nac","b3724,b3725,b3726,b3727,b3728","ECK3717,ECK3718,ECK3719,ECK3720,ECK3721",pstSp
dnaAN-recF,"recF,dnaN,dnaA","DnaA-ATP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator ArgP,Phosphorylated DNA-binding transcriptional activator QseB,DNA-binding transcriptional dual regulator Nac","dnaA,argP,qseB,nac","b3700,b3701,b3702","ECK3692,ECK3693,ECK3694",dnaAp1
yjfKLMC,"yjfC,yjfM,yjfL,yjfK",,,"b4186,b4185,b4184,b4183","ECK4182,ECK4181,ECK4180,ECK4179",yjfKp
rsmC,rsmC,,,b4371,ECK4362,
dadAX,"dadX,dadA","CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","crp,lrp,nac","b1190,b1189","ECK1178,ECK1177",dadAp1
proVWX,"proX,proW,proV",,,"b2679,b2678,b2677","ECK2673,ECK2672,ECK2671",proVp2
alr,alr,,,b4053,ECK4045,alrp2
ykgR,ykgR,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,crp,b4671,ECK4486,ykgRp
astCADBE,"astE,astB,astD,astA,astC","DNA-binding transcriptional dual regulator Rob,DNA-binding transcriptional dual regulator Lrp","rob,lrp","b1744,b1745,b1746,b1747,b1748","ECK1742,ECK1743,ECK1744,ECK1745,ECK1746",astCp1
insE2F2EF2,"insE2,insF2,insEF2",,,"b0373,b0372","ECK0298,ECK0299",
ldtF,dpaA,DNA-binding transcriptional dual regulator Nac,nac,b0224,ECK0225,
imp,lptD,,,b0054,ECK0055,impp1
galE,galE,"DNA-binding transcriptional dual regulator GalR,DNA-binding transcriptional dual regulator HU,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator GalS,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","galR,hupA,hupB,hns,galS,crp",b0759,ECK0748,galEp1
allA,allA,AllR-allantoin,allR,b0505,ECK0498,allAp
rnhA,rnhA,,,b0214,ECK0214,rnhAp
ynfO-ydfO,"ydfO,ynfO",DNA-binding transcriptional dual regulator FNR,fnr,"b1549,b4533","ECK1543,ECK1542",
mokB,mokB,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,crp,b1420,ECK1413,
yfeH,yfeH,,,b2410,ECK2404,
matP,matP,,,b0956,ECK0947,matPp
yqfB,yqfB,,,b2900,ECK2895,
ygcS,ygcS,DNA-binding transcriptional dual regulator Nac,nac,b2771,ECK2766,
atpIBEFHAGDC,"atpC,atpD,atpG,atpA,atpH,atpF,atpE,atpB,atpI",DNA-binding transcriptional dual regulator Lrp,lrp,"b3731,b3732,b3733,b3734,b3735,b3736,b3737,b3738,b3739","ECK3724,ECK3725,ECK3726,ECK3727,ECK3728,ECK3729,ECK3730,ECK3731,ECK3732",atpIp
lysR,lysR,"DNA-binding transcriptional dual regulator LysR,DNA-binding transcriptional dual regulator Nac","lysR,nac",b2839,ECK2837,lysRp
hypT,hypT,,,b4327,ECK4318,
adiC,adiC,"DNA-binding transcriptional dual regulator PhoB-phosphorylated,GadE-RcsB DNA-binding transcriptional activator,DNA-binding transcriptional dual regulator TorR-phosphorylated,DNA-binding transcriptional dual regulator H-NS","phoB,rcsB,gadE,torR,hns",b4115,ECK4108,adiCp7
rtcBA,"rtcA,rtcB","DNA-binding transcriptional activator RtcR,DNA-binding transcriptional dual regulator IHF","rtcR,ihfA,ihfB","b4475,b3421","ECK3406,ECK3407",rtcBp
cmk-rpsA,"rpsA,cmk",,,"b0911,b0910","ECK0902,ECK0901",cmkp
pepA,pepA,,,b4260,ECK4253,pepAp3
yfgM,yfgM,,,b2513,ECK2509,yfgMp2
yahB,yahB,,,b0316,ECK0314,
plsB,plsB,,,b4041,ECK4033,plsBp1
ymdAB,"ymdB,ymdA",,,"b1045,b1044","ECK1031,ECK1030",ymdAp
dxr-uppS-cdsA,"cdsA,ispU,dxr",,,"b0175,b0174,b0173","ECK0174,ECK0173,ECK0172",
yrdD-rimN-aroE-yrdB,"yrdB,aroE,tsaC,yrdD","DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional activator ZraR-phosphorylated","nac,zraR","b3280,b3281,b3282,b3283","ECK3267,ECK3268,ECK3269,ECK3270",
feaB,feaB,DNA-binding transcriptional dual regulator Nac,nac,b1385,ECK1382,feaBp2
tam,tam,DNA-binding transcriptional repressor GlaR,glaR,b1519,ECK1512,tamp
aceEF,"aceF,aceE","DNA-binding transcriptional dual regulator NsrR,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator ArcA-phosphorylated","nsrR,fnr,arcA","b0115,b0114","ECK0114,ECK0113",aceEp1
yedD,yedD,,,b1928,ECK1927,
ynaE,ynaE,DNA-binding transcriptional repressor GlaR,glaR,b1375,ECK1370,
ygeX,ygeX,,,b2871,ECK2867,
nfeR,nfeR,"DNA-binding transcriptional repressor NfeR,DNA-binding transcriptional dual regulator FNR","nfeR,fnr",b3071,ECK3061,nfeRp
edd-eda,"eda,edd","DNA-binding transcriptional repressor KdgR,DNA-binding transcriptional repressor GntR,DNA-binding transcriptional dual regulator Cra,DNA-binding transcriptional repressor PlaR","kdgR,gntR,cra,plaR","b1850,b1851","ECK1851,ECK1852",eddp
ygaZH,"ygaH,ygaZ",DNA-binding transcriptional dual regulator Nac,nac,"b2683,b2682","ECK2677,ECK2676",
intB,intB,,,b4271,ECK4264,
gcvTHP,"gcvP,gcvH,gcvT","CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional repressor PurR-hypoxanthine,DNA-binding transcriptional dual regulator GcvA,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","crp,purR,gcvA,fnr,lrp,nac","b2903,b2904,b2905","ECK2898,ECK2899,ECK2900",gcvTp
tpx,tpx,"DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator ArcA-phosphorylated","fnr,arcA",b1324,ECK1320,tpxp
dusA,dusA,,,b4049,ECK4041,
cmr,mdfA,,,b0842,ECK0832,cmrp2
tauABCD,"tauD,tauC,tauB,tauA","CysB-<i>O</i>-acetyl-L-serine DNA-binding transcriptional dual regulator,DNA-binding transcriptional activator Cbl,DNA-binding transcriptional dual regulator Nac","cysB,cbl,nac","b0368,b0367,b0366,b0365","ECK0365,ECK0364,ECK0363,ECK0362",tauAp
rrsH-ileV-alaV-rrlH-rrfH,"rrfH,rrlH,alaV,ileV,rrsH","DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Lrp-L-leucine,DNA-binding transcriptional dual regulator Fis","hns,lrp,fis","b0205,b0204,b0203,b0202,b0201","ECK0205,ECK0204,ECK0203,ECK0202,ECK0201",rrsHp1
tyrS-pdxY,"pdxY,tyrS",,,"b1636,b1637","ECK1632,ECK1633",tyrSp2
intF,intF,,,b0281,ECK0280,
dsbC-recJ-prfB,"prfB,recJ,dsbC",,,"b2891,b2892,b2893","ECK2886,ECK2887,ECK2888",dsbCp2
sdsN,sdsN,,,b4719,ECK4576,sdsNp2
nadC,nadC,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Nac","crp,nac",b0109,ECK0108,nadCp
srlR,srlR,DNA-binding transcriptional dual regulator Nac,nac,b2707,ECK2702,srlRp
leuE,leuE,"DNA-binding transcriptional dual regulator Lrp-L-leucine,DNA-binding transcriptional dual regulator Lrp",lrp,b1798,ECK1796,leuEp
yddLKJ,"yddL,yddK,yddJ",,,"b1472,b1471,b1470","ECK1466,ECK1465,ECK1464",
uvrC,uvrC,DNA-binding transcriptional repressor LexA,lexA,b1913,ECK1912,uvrCp3
ydcO,ydcO,DNA-binding transcriptional dual regulator SutR,sutR,b1433,ECK1427,
uspE,uspE,"DNA-binding transcriptional dual regulator GadX,DNA-binding transcriptional dual regulator Lrp","gadX,lrp",b1333,ECK1329,uspEp
yqeF,yqeF,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Lrp","crp,lrp",b2844,ECK2842,
ynjF,ynjF,DNA-binding transcriptional dual regulator Nac,nac,b1758,ECK1756,ynjFp
ftsQAZ,"ftsQ,ftsA,ftsZ","DNA-binding transcriptional dual regulator SdiA,DNA-binding transcriptional dual regulator Lrp,ArgR-L-arginine DNA-binding transcriptional dual regulator","sdiA,lrp,argR","b0093,b0094,b0095","ECK0094,ECK0095,ECK0096",ftsQp1
yfjR-ypjK-yfjS-yfjT,"yfjT,yfjS,ypjK,yfjR",,,"b2637,b2636,b2635,b2634","ECK2633,ECK2632,ECK2631,ECK2630",
cysQ,cysQ,DNA-binding transcriptional dual regulator Nac,nac,b4214,ECK4210,
hypABCDE,"hypA,hypB,hypC,hypD,hypE","DNA-binding transcriptional dual regulator NsrR,DNA-binding transcriptional dual regulator IHF,FhlA-formate DNA-binding transcriptional activator","nsrR,ihfA,ihfB,fhlA","b2726,b2727,b2728,b2729,b2730","ECK2721,ECK2722,ECK2723,ECK2724,ECK2725",hypAp
hupB,hupB,"DNA-binding transcriptional dual regulator Fis,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","fis,crp",b0440,ECK0434,hupBp3
fabR-yijD,"yijD,fabR",,,"b3964,b3963","ECK3956,ECK3955",
artPIQM,"artM,artQ,artI,artP",DNA-binding transcriptional dual regulator Lrp,lrp,"b0861,b0862,b0863,b0864","ECK0852,ECK0853,ECK0854,ECK0855",artPp3
lldPRD,"lldD,lldR,lldP","DNA-binding transcriptional dual regulator LldR-<i>S</i>-lactate,DNA-binding transcriptional dual regulator ArcA-phosphorylated,DNA-binding transcriptional dual regulator LldR,DNA-binding transcriptional dual regulator PdhR","lldR,arcA,pdhR","b3605,b3604,b3603","ECK3595,ECK3594,ECK3593",lldPp
fkpA,fkpA,,,b3347,ECK3334,fkpAp1
uppS-cdsA,"cdsA,ispU",,,"b0175,b0174","ECK0174,ECK0173",ispUp2
frsA,frsA,,,b0239,ECK0240,frsAp
sokC,sokC,,,b4413,ECK0019,sokCp
relA,relA,"DNA-binding transcriptional dual regulator NtrC-phosphorylated,DNA-binding transcriptional dual regulator Lrp","glnG,lrp",b2784,ECK2778,relAp4
ssrA,ssrA,DNA-binding transcriptional activator ZraR-phosphorylated,zraR,b2621,ECK2617,ssrAp
ilvIH,"ilvH,ilvI",DNA-binding transcriptional dual regulator Lrp,lrp,"b0078,b0077","ECK0080,ECK0079",ilvIp3
katE,katE,"Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Lrp","fur,fis,lrp",b1732,ECK1730,katEp
rlhA,rlhA,,,b1435,ECK1429,
fabI,fabI,,,b1288,ECK1283,fabIp1
bhsA,bhsA,"DNA-binding transcriptional repressor ComR,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","comR,crp",b1112,ECK1098,bhsAp
yjhR,yjhR,,,b4308,ECK4299,
ppnN,ppnN,DNA-binding transcriptional dual regulator Nac,nac,b2795,ECK2790,
raiAZ,"raiZ,raiA","CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional activator ZraR-phosphorylated","crp,zraR","b4805,b2597","ECK4662,ECK2594",raiAp
nadB,nadB,DNA-binding transcriptional repressor/NMN adenylyltransferase NadR,nadR,b2574,ECK2572,nadBp
malS,malS,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional activator MalT-maltotriose-ATP,DNA-binding transcriptional dual regulator PhoP-phosphorylated","crp,malT,phoP",b3571,ECK3560,malSp
ecnAB,"ecnB,ecnA",DNA-binding transcriptional dual regulator Nac,nac,"b4411,b4410","ECK4143,ECK4142",
yiiG,yiiG,,,b3896,ECK3889,
glpGR,"glpR,glpG",,,"b3423,b3424","ECK3409,ECK3410",glpGp
lpdA,lpd,"Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator ArcA-phosphorylated,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator Fis","fur,arcA,crp,fnr,fis",b0116,ECK0115,lpdAp
ubiT-yhbS,"yhbS,ubiT","DNA-binding transcriptional dual regulator CsgD,DNA-binding transcriptional dual regulator Nac","csgD,nac","b3156,b3157","ECK3144,ECK3145",ubiTp2
glnW-metU-glnVX,"glnX,glnV,metU,glnW",,,"b0664,b0665,b0666,b0668","ECK0655,ECK0656,ECK0657,ECK0658",glnWp
yicJI,"yicI,yicJ",DNA-binding transcriptional dual regulator Nac,nac,"b3656,b3657","ECK3646,ECK3647",yicJp
leuLABCD,"leuD,leuC,leuB,leuA,leuL","DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","lrp,nac","b0071,b0072,b0073,b0074,b0075","ECK0073,ECK0074,ECK0075,ECK0076,ECK0077",leuLp2
dkgB,dkgB,DNA-binding transcriptional dual regulator NsrR,nsrR,b0207,ECK0207,dkgBp
pyrG-eno,"eno,pyrG",DNA-binding transcriptional dual regulator Lrp,lrp,"b2779,b2780","ECK2773,ECK2774",pyrGp1
mepS,mepS,,,b2175,ECK2169,mepSp2
rttR,rttR,,,b4425,ECK1223,
ilvA,ilvA,,,b3772,ECK3764,ilvAp
yihA,yihA,,,b3865,ECK3857,
pdxI,pdxI,,,b1406,ECK1399,
suhB,suhB,,,b2533,ECK2530,
zupT,zupT,,,b3040,ECK3031,zupTp
fur,fur,"Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","fur,crp",b0683,ECK0671,furpa
ygbLM,"ygbM,ygbL",,,"b2739,b2738","ECK2734,ECK2733",
yihD,yihD,"DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","nac,glaR",b3858,ECK3850,yihDp
thrLABC,"thrL,thrA,thrB,thrC","DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator ArcA-phosphorylated","lrp,fnr,arcA","b0001,b0002,b0003,b0004","ECK0001,ECK0002,ECK0003,ECK0004",thrLp
metT-leuW-glnUW-metU-glnVX,"glnX,glnV,metU,glnW,glnU,leuW,metT","DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Lrp","fis,lrp","b0664,b0665,b0666,b0668,b0670,b0672,b0673","ECK0655,ECK0656,ECK0657,ECK0658,ECK0659,ECK0660,ECK0661",metTp
gltP,gltP,"DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator Lrp,ArgR-L-arginine DNA-binding transcriptional dual regulator","nac,lrp,argR",b4077,ECK4070,
nuoMN,"nuoN,nuoM",,,"b2276,b2277","ECK2270,ECK2271",nuoMp
arcA,arcA,"DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator ArcA-phosphorylated","fnr,arcA",b4401,ECK4393,arcAp4
csrA,csrA,,,b2696,ECK2691,csrAp4
sbmC,sbmC,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional repressor LexA","crp,lexA",b2009,ECK2003,sbmCp2
tisB,tisB,DNA-binding transcriptional repressor LexA,lexA,b4618,ECK4427,tisBp
flhBAE,"flhE,flhA,flhB",FlhDC DNA-binding transcriptional dual regulator,"flhD,flhC","b1878,b1879,b1880","ECK1879,ECK1880,ECK1881",flhBp
ymgF,ymgF,,,b4520,ECK1156,
mrcB,mrcB,,,b0149,ECK0148,mrcBp
yiaF,yiaF,,,b3554,ECK3541,yiaFp
fabF,fabF,,,b1095,ECK1081,
aegA,aegA,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,crp,b2468,ECK2463,
ppiD,ppiD,,,b0441,ECK0435,ppiDp1
fumC,fumC,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator ArcA-phosphorylated,DNA-binding transcriptional dual regulator SoxS,DNA-binding transcriptional dual regulator MarA,DNA-binding transcriptional dual regulator SoxR","crp,fur,fnr,arcA,soxS,marA,soxR",b1611,ECK1606,fumCp2
racR,racR,,,b1356,ECK1354,
pmrD,pmrD,,,b2259,ECK2253,
yohD,yohD,,,b2136,ECK2129,
yzcX,yzcX,,,b3808,ECK3802,
ypjC,ypjC,,,b2650,ECK2647,
argU,argU,"DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Nac","fis,nac",b0536,ECK0529,argUp
ppsA,ppsA,"DNA-binding transcriptional dual regulator Cra,DNA-binding transcriptional dual regulator PdhR,DNA-binding transcriptional dual regulator Lrp","cra,pdhR,lrp",b1702,ECK1700,ppsAp
argQ,argQ,,,b2691,ECK2686,argQp
yjbD,yjbD,,,b4023,ECK4015,
hemA,hemA,,,b1210,ECK1198,hemAp2
eda,eda,DNA-binding transcriptional repressor PlaR,plaR,b1850,ECK1851,edap2
