Gene,Bnb,Left,Right,Product,ECKnb,Synonyms,Object ID,Activated,Activated_Bnb,Inhibited,Inhibited_Bnb
galT,b0758,789983,791029,galactose-1-phosphate uridylyltransferase,ECK0747,"galT,galB,b0758,ECK0747",EG10366,,,,
ttcA,b1344,1411013,1411948,tRNA cytosine<sup>32</sup> 2-sulfurtransferase TtcA,ECK1341,"ttcA,ydaO,b1344,ECK1341",G6675,,,,
malE,b4034,4245229,4246419,maltose ABC transporter periplasmic binding protein,ECK4026,"malE,b4034,ECK4026",EG10554,,,,
lsrA,b1513,1601490,1603025,Autoinducer-2 ABC transporter ATP binding subunit,ECK1506,"lsrA,ego,ydeX,b1513,ECK1506",G6800,,,,
yajD,b0410,430605,430952,HNH nuclease family protein YajD,ECK0404,"yajD,b0410,ECK0404",EG11097,,,,
ebgC,b3077,3225722,3226171,DUF386 domain-containing evolved &beta;-D-galactosidase subunit &beta;,ECK3067,"ebgC,b3077,ECK3067",EG10253,,,,
fhuC,b0151,169778,170575,iron(III) hydroxamate ABC transporter ATP binding subunit,ECK0150,"fhuC,b0151,ECK0150",EG10304,,,,
dgoT,b3691,3870438,3871730,D-galactonate:H<sup>+</sup> symporter,ECK3683,"dgoT,yidT,b3691,ECK3683",EG20053,,,,
yqcC,b2792,2923784,2924113,DUF446 domain-containing protein YqcC,ECK2786,"yqcC,b2792,ECK2786",G7450,,,,
insF4,b1026,1094275,1095141,IS3 element protein InsF,ECK0299,"insF4,tra5-3,b1026,ECK0299",G6533,,,,
araH,b4460,1982554,1983540,arabinose ABC transporter membrane subunit,ECK1897,"araH,b1898,b1899,b4460,ECK1897",EG10059,,,,
yfiC,b2575,2712027,2712764,tRNA m<sup>6</sup>A37 methyltransferase,ECK2573,"yfiC,trmM,b2575,ECK2573",EG11538,,,,
dgcJ,b1786,1872041,1873531,diguanylate cyclase DgcJ,ECK1784,"dgcJ,yeaJ,b1786,ECK1784",G6972,,,,
ydcT,b1441,1512817,1513830,putative ABC transporter ATP-binding protein YdcT,ECK1435,"ydcT,b1441,ECK1435",G6752,,,,
yfgH,b2505,2629792,2630310,lipoprotein YfgH,ECK2501,"yfgH,b2505,ECK2501",G7316,,,,
yjhG,b4297,4522127,4524094,KpLE2 phage-like element; D-xylonate dehydratase,ECK4286,"yjhG,b4297,ECK4286",G7910,,,,
ftnB,b1902,1986925,1987428,putative ferritin-like protein,ECK1900,"ftnB,yecI,b1902,ECK1900",G7033,,,,
nanX,b4279,4504058,4505275,sialic acid transporter NanX,ECK4269,"nanX,yjhB,b4279,ECK4269",EG12544,,,,
yfaZ,b2250,2363733,2364275,putative porin YfaZ,ECK2243,"yfaZ,b2250,ECK2243",G7163,,,,
insA3,b0275,291071,291346,IS1 protein InsA,ECK0023,"insA3,b0275,ECK0023",G6146,,,,
gudP,b2789,2920748,2922100,galactarate/D-glucarate transporter GudP,ECK2783,"gudP,gudT,ygcZ,b2789,ECK2783",G7447,,,,
mnmE,b3706,3886828,3888192,5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit,ECK3699,"mnmE,trmE,thdF,b3706,ECK3699",EG10997,,,,
fliL,b1944,2019618,2020082,flagellar protein FliL,ECK1942,"fliL,flaQI,flaAI,cheC1,b1944,ECK1942",EG10322,,,,
kdpF,b4513,728732,728821,K<sup>+</sup> transporting P-type ATPase subunit KdpF,ECK0687,"kdpF,b4513,ECK0687",G0-10439,,,,
yoaH,b1811,1894552,1894731,UFP0181 family protein YoaH,ECK1809,"yoaH,b1811,ECK1809",G6995,,,,
paaX,b1399,1463539,1464489,DNA-binding transcriptional repressor PaaX,ECK1396,"paaX,ydbY,b1399,ECK1396",G6720,,,"paaY,paaX,paaK,paaJ,paaI,paaH,paaG,paaF,paaE,paaD,paaC,paaB,paaA,paaZ","b1400,b1399,b1398,b1397,b1396,b1395,b1394,b1393,b1392,b1391,b1390,b1389,b1388,b1387"
fetA,b0490,515919,516596,putative iron ABC exporter ATP-binding subunit FetA,ECK0484,"fetA,ybbL,b0490,ECK0484",G6266,,,,
ydjE,b1769,1852621,1853979,putative transporter YdjE,ECK1767,"ydjE,b1769,ECK1767",EG12369,,,,
ydhR,b1667,1746700,1747005,putative monooxygenase YdhR,ECK1663,"ydhR,b1667,ECK1663",G6895,,,,
insCD3,,2068952,2070180,IS2 element transposase InsAB',,insCD3,G0-10543,,,,
glxK,b0514,541888,543033,glycerate 2-kinase 2,ECK0507,"glxK,glxB5,ybbZ,b0514,ECK0507",G6283,,,,
truD,b2745,2870255,2871304,tRNA pseudouridine<sup>13</sup> synthase,ECK2740,"truD,ygbO,b2745,ECK2740",G7422,,,,
bdm,b1481,1556065,1556280,biofilm-dependent modulation protein,ECK1475,"bdm,yddX,b1481,ECK1475",G6776,,,,
ybiR,b0818,853647,854765,putative transporter YbiR,ECK0808,"ybiR,b0818,ECK0808",G6421,,,,
mnaT,b1448,1518328,1518846,L-amino acid N-acyltransferase,ECK1442,"mnaT,yncA,b1448,ECK1442",G6759,,,,
dgoK,b3693,3873596,3874474,2-dehydro-3-deoxygalactonokinase,ECK3686,"dgoK,yidV,b3693,ECK3686",EG20051,,,,
fepC,b0588,619384,620199,ferric enterobactin ABC transporter ATP binding subunit,ECK0581,"fepC,b0588,ECK0581",EG10295,,,,
yhhT,b3474,3611865,3612914,putative transporter YhhT,ECK3458,"yhhT,b3474,ECK3458",EG12220,,,,
ycfP,b1108,1165143,1165685,PF05728 family protein YcfP,ECK1094,"ycfP,b1108,ECK1094",G6568,,,,
insC6,b4272,4498272,4498637,KpLE2 phage-like element; IS2 insertion element repressor InsA,ECK0357,"insC6,yi21-6,b4272,ECK0357",G7894,,,,
gatC,b2092,2172921,2174278,galactitol-specific PTS enzyme IIC component,ECK2085,"gatC,b2092,ECK2085",EG12416,,,,
rlmL,b0948,1007844,1009952,fused 23S rRNA m<sup>2</sup>G2445 methyltransferase and 23S rRNA m<sup>7</sup>G2069 methyltransferase,ECK0939,"rlmL,ycbY,rlmK,rlmKL,b0948,ECK0939",G6488,,,,
fliA,b1922,2001070,2001789,RNA polymerase sigma factor FliA,ECK1921,"fliA,rpoF,flaD,b1922,ECK1921",EG11355,"ycgR,fliT,fliS,fliD,flxA,fliR,fliQ,fliP,fliO,fliN,fliM,fliL,flgO,flgL,flgK,ppdA,ppdB,ygdB,ppdC,recC,ynjH,trg,motR,cheW,cheA,motB,motA,fliE,cheZ,cheY,cheB,cheR,tap,tar,ves,yjcS,oppA,oppB,oppC,oppD,oppF,flgN,flgM,modC,modB,modA,yhiL,prs,ispE,lolB,fliX,fliC,fliF,fliG,fliH,fliI,fliJ,fliK,ykfI,yafW,ykfH,ykfG,yafX,ykfF,ykfB,pdeH,yecF,rdcB,rdcA,tcyJ,fliZ,fliA,aer,ygbK,tsr,hemL","b1194,b1926,b1925,b1924,b1566,b1950,b1949,b1948,b1947,b1946,b1945,b1944,b4826,b1083,b1082,b2826,b2825,b2824,b2823,b2822,b1760,b1421,b4828,b1887,b1888,b1889,b1890,b1937,b1881,b1882,b1883,b1884,b1885,b1886,b1742,b4083,b1243,b1244,b1245,b1246,b1247,b1070,b1071,b0765,b0764,b0763,b4660,b1207,b1208,b1209,b4827,b1923,b1938,b1939,b1940,b1941,b1942,b1943,b0245,b0246,b4504,b0247,b0248,b0249,b0250,b3525,b1915,b4110,b4109,b1920,b1921,b1922,b3072,b2737,b4355,b0154",,
ybbP,b0496,520416,522830,putative ABC transporter membrane subunit YbbP,ECK0490,"ybbP,b0496,ECK0490",G6270,,,,
ybjT,b0869,906852,908282,putative NAD(P)-binding protein YbjT,ECK0860,"ybjT,b0869,ECK0860",G6454,,,,
idnK,b4268,4494623,4495186,"D-gluconate kinase, thermosensitive",ECK4261,"idnK,gntV,b4268,ECK4261",EG12152,,,,
fecB,b4290,4513406,4514308,ferric citrate ABC transporter periplasmic binding protein,ECK4280,"fecB,b4290,ECK4280",EG10287,,,,
uraA,b2497,2618871,2620160,uracil:H<sup>+</sup> symporter UraA,ECK2493,"uraA,b2497,ECK2493",EG12129,,,,
ybdM,b0601,634747,635376,ParB-like nuclease domain-containing protein YbdM,ECK0595,"ybdM,b0601,ECK0595",G6330,,,,
insH7,b2030,2101895,2102875,IS<i>5</i> transposase and trans-activator,ECK0261,"insH7,yi52_7,trs5-7,b2030,ECK0261",G7092,,,,
kdgT,b3909,4101690,4102673,2-dehydro-3-deoxy-D-gluconate:H<sup>+</sup> symporter,ECK3902,"kdgT,b3909,ECK3902",EG11869,,,,
rlmA,b1822,1906251,1907060,23S rRNA m<sup>1</sup>G745 methyltransferase,ECK1820,"rlmA,rrmA,yebH,b1822,ECK1820",EG12207,,,,
dgcT,b1025,1092876,1094234,probable diguanylate cyclase DgcT,ECK1015,"dgcT,ycdT,b1025,ECK1015",G6532,,,,
afuC,b0262,277756,278802,CP4-6 prophage; ABC transporter ATP-binding protein AfuC,ECK0264,"afuC,fbpC,yagC,b0262,ECK0264",EG12340,,,,
yahG,b0321,338325,339743,DUF1116 domain-containing protein YahG,ECK0319,"yahG,b0321,ECK0319",G6186,,,,
acs,b4069,4285413,4287371,acetyl-CoA synthetase (AMP-forming),ECK4062,"acs,yfaC,acsA,b4069,ECK4062",EG11448,,,,
fhuD,b0152,170575,171465,iron(III) hydroxamate ABC transporter periplasmic binding protein,ECK0151,"fhuD,b0152,ECK0151",EG10305,,,,
ccmH,b2194,2291358,2292410,holocytochrome <I>c</I> synthase CcmH component,ECK2186,"ccmH,yejP,b2194,ECK2186",EG12052,,,,
bhsB,b4832,1169303,1169402,small RNA BhsB,ECK4689,"bhsB,b4832,ECK4689",G0-17107,,,,
insB2,b0264,279178,279681,IS1 protein InsB,ECK0022,"insB2,b0264,ECK0022",G6138,,,,
garK,b3124,3270625,3271770,glycerate 2-kinase 1,ECK3112,"garK,yhaD,b3124,ECK3112",EG11175,,,,
tadA,b2559,2697354,2697857,tRNA adenosine<sup>34</sup> deaminase,ECK2557,"tadA,yfhC,b2559,ECK2557",EG11372,,,,
chaC,b1218,1272507,1273202,glutathione-specific &gamma;-glutamylcyclotransferase,ECK1212,"chaC,b1218,ECK1212",EG12403,,,,
yoeJ,b4818,2079427,2079477,protein YoeJ,ECK4675,"yoeJ,b4818,ECK4675",G0-17093,,,,
srlE,b2703,2826392,2827351,sorbitol-specific PTS enzyme IIBC<sub>1</sub> component,ECK2698,"srlE,sbl,gutA,gutE,srlA,srlA-2,b2703,ECK2698",EG10969,,,,
nfeF,b3070,3215727,3216491,NADPH-dependent ferric-chelate reductase,ECK3060,"nfeF,yqjH,b3070,ECK3060",G7593,,,,
actP,b4067,4283253,4284902,acetate/glycolate:cation symporter,ECK4060,"actP,yjcG,b4067,ECK4060",EG11942,,,,
naRNA1,,4326305,4326381,naRNA1,,naRNA1,G0-16694,,,,
insAB6,,3583483,3584180,InsAB' transposase,,insAB6,G0-10540,,,,
sfsB,b3188,3334909,3335187,putative transcriptional regulator SfsB,ECK3177,"sfsB,nlp,sfs7,b3188,ECK3177",EG10656,,,,
selD,b1764,1846965,1848008,"selenide, water dikinase",ECK1762,"selD,fdhB,b1764,ECK1762",EG10943,,,,
tsr,b4355,4591657,4593312,methyl-accepting chemotaxis protein Tsr,ECK4345,"tsr,cheD,b4355,ECK4345",EG11034,,,,
G0-10706,,4441225,4441330,small RNA,,,G0-10706,,,,
malT,b3418,3553085,3555790,DNA-binding transcriptional activator MalT,ECK3405,"malT,malA,b3418,ECK3405",EG10562,"malZ,malS,malK,lamB,malM,malH,malG,malF,malE,malQ,malP","b0403,b3571,b4035,b4036,b4037,b4807,b4032,b4033,b4034,b3416,b3417",,
yagU,b0287,302991,303605,DUF1440 domain-containing inner membrane protein YagU,ECK0286,"yagU,b0287,ECK0286",G6158,,,,
yihN,b3874,4062247,4063512,putative transporter YihN,ECK3867,"yihN,b3874,ECK3867",EG11840,,,,
ydaF,b4527,1419156,1419311,Rac prophage; DUF1391 domain-containing protein YdaF,ECK1352,"ydaF,b4527,ECK1352",G0-10448,,,,
insH11,b3505,3652182,3653162,IS<i>5</i> transposase and trans-activator,ECK0261,"insH11,yi52_11,trs5-11,b3505,ECK0261",G7769,,,,
galK,b0757,788831,789979,galactokinase,ECK0746,"galK,galA,b0757,ECK0746",EG10363,,,,
rlmB,b4180,4409275,4410006,23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase,ECK4176,"rlmB,yjfH,b4180,ECK4176",G7845,,,,
cheW,b1887,1972836,1973339,chemotaxis protein CheW,ECK1888,"cheW,b1887,ECK1888",EG10149,,,,
nudK,b2467,2582903,2583478,GDP-mannose hydrolase,ECK2462,"nudK,yffH,b2467,ECK2462",EG12410,,,,
cpsB,b2049,2123084,2124520,mannose-1-phosphate guanylyltransferase,ECK2043,"cpsB,rfbM,manC,mni,b2049,ECK2043",EG10161,,,,
yhiM,b3491,3634841,3635893,inner membrane protein YhiM,ECK3476,"yhiM,b3491,ECK3476",EG12228,,,,
mdtL,b3710,3891615,3892790,efflux pump MdtL,ECK3703,"mdtL,yidY,b3710,ECK3703",EG11720,,,,
bcsE,b3536,3696458,3698029,c-di-GMP-binding protein BcsE,ECK3521,"bcsE,yhjS,b3536,ECK3521",EG12263,,,,
insH6,b1994,2066305,2067285,CP4-44 prophage; IS<i>5</i> transposase and trans-activator,ECK0261,"insH6,yi52_6,trs5-6,b1994,ECK0261",G7074,,,,
araE,b2841,2980764,2982182,arabinose:H<sup>+</sup> symporter,ECK2839,"araE,b2841,ECK2839",EG10056,,,,
iscS,b2530,2660317,2661531,cysteine desulfurase IscS,ECK2527,"iscS,nuvC,yzzO,yfhO,b2530,ECK2527",G7325,,,,
yehP,b2121,2207967,2209103,VWA domain-containing protein YehP,ECK2113,"yehP,b2121,ECK2113",EG12002,,,,
yhjD,b3522,3673362,3674375,putative transporter YhjD,ECK3507,"yhjD,b3522,ECK3507",EG12248,,,,
mhpD,b0350,372115,372924,2-hydroxypentadienoate hydratase,ECK0347,"mhpD,mhpS,b0350,ECK0347",M013,,,,
cadA,b4131,4356470,4358617,lysine decarboxylase 1,ECK4125,"cadA,ldcI,b4131,ECK4125",EG10131,,,,
ydeE,b1534,1621332,1622519,dipeptide exporter,ECK1527,"ydeE,ydeF,b1534,ECK1527",EG11640,,,,
yhdN,b3293,3439141,3439509,DUF1992 domain-containing protein YhdN,ECK3280,"yhdN,b3293,ECK3280",EG11970,,,,
rayT,b0228,247637,248134,REP-associated tyrosine transposase,ECK0229,"rayT,yafM,b0228,ECK0229",G6112,,,,
idnR,b4264,4490141,4491139,DNA-binding transcriptional dual regulator IdnR,ECK4257,"idnR,gntS?,gntH,yjgS,b4264,ECK4257",G7891,"idnK,idnR,idnT,idnO,idnD","b4268,b4264,b4265,b4266,b4267","gntU,gntK","b4476,b3437"
miaB,b0661,693531,694955,isopentenyl-adenosine A37 tRNA methylthiolase,ECK0653,"miaB,yleA,b0661,ECK0653",G6364,,,,
tap,b1885,1969383,1970984,methyl-accepting chemotaxis protein Tap,ECK1886,"tap,b1885,ECK1886",EG10987,,,,
secA,b0098,108279,110984,protein translocation ATPase,ECK0099,"secA,azi,pea,prlD,b0098,ECK0099",EG10936,,,,
yihY,b3886,4076146,4077018,PF03631 family membrane protein YihY,ECK3879,"yihY,rbn,b3886,ECK3879",EG11851,,,,
hcaD,b2542,2672047,2673249,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit,ECK2539,"hcaD,hcaa4,phdA,yfhY,b2542,ECK2539",G7336,,,,
alx,b3088,3238580,3239545,putative membrane-bound redox modulator Alx,ECK3079,"alx,ygjT,b3088,ECK3079",G7607,,,,
yifK,b3795,3980887,3982272,putative transporter YifK,ECK3788,"yifK,b3795,ECK3788",EG11459,,,,
yicH,b3655,3830457,3832166,AsmA family protein YicH,ECK3645,"yicH,b3655,ECK3645",EG11684,,,,
insAB2,,279178,279875,InsAB' transposase,,insAB2,G0-10537,,,,
paaH,b1395,1459054,1460481,3-hydroxyadipyl-CoA dehydrogenase,ECK1392,"paaH,hbdH,ydbU,b1395,ECK1392",G6716,,,,
rluD,b2594,2735031,2736011,23S rRNA pseudouridine<sup>1911/1915/1917</sup> synthase,ECK2592,"rluD,yfiI,sfhB,b2594,ECK2592",EG12098,,,,
cheA,b1888,1973360,1975324,"chemotaxis protein CheA,chemotaxis protein CheA(S)",ECK1889,"cheA,b1888,ECK1889",EG10146,,,,
secB,b3609,3783661,3784128,protein export chaperone SecB,ECK3599,"secB,b3609,ECK3599",EG10937,,,,
sgcQ,b4303,4528111,4528917,KpLE2 phage-like element; putative nucleoside triphosphatase,ECK4292,"sgcQ,yjhM,b4303,ECK4292",G7915,,,,
prpD,b0334,351215,352666,2-methylcitrate dehydratase,ECK0331,"prpD,yahT,acnC,b0334,ECK0331",G6199,,,,
mgrB,b1826,1908623,1908766,PhoQ kinase inhibitor,ECK1824,"mgrB,yobG,b1826,ECK1824",G7002,,,"phoP,phoQ","b1130,b1129"
emrA,b2685,2811427,2812599,multidrug efflux pump membrane fusion protein EmrA,ECK2679,"emrA,b2685,ECK2679",EG11354,,,,
rmuC,b3832,4017333,4018760,putative recombination limiting protein RmuC,ECK3826,"rmuC,yigN,b3832,ECK3826",EG11472,,,,
insH10,b3218,3365702,3366682,IS<i>5</i> transposase and trans-activator,ECK0261,"insH10,trs5-10,yi52_10,b3218,ECK0261",G7672,,,,
mngB,b0732,767978,770611,&alpha;-mannosidase,ECK0720,"mngB,ybgG,b0732,ECK0720",EG13236,,,,
dusB,b3260,3410280,3411245,tRNA-dihydrouridine synthase B,ECK3247,"dusB,yhdG,b3260,ECK3247",EG11311,,,,
aer,b3072,3217556,3219076,aerotaxis receptor,ECK3062,"aer,yqjJ,air,b3072,ECK3062",G7595,,,,
rdlC,b4424,1270393,1270460,putative antisense regulatory RNA RdlC,ECK1209,"rdlC,b4424,ECK1209",G0-9608,,,,
yhhZ,b3442,3581863,3583041,putative endonuclease YhhZ,ECK3428,"yhhZ,b3442,ECK3428",G7759,,,,
dhaM,b1198,1247696,1249114,dihydroxyacetone kinase subunit M,ECK1186,"dhaM,ycgC,dhaH,ptsD,b1198,ECK1186",EG12399,,,,
hdeD,b3511,3656995,3657567,acid-resistance membrane protein,ECK3495,"hdeD,yhiA,b3511,ECK3495",EG11495,,,,
gspF,b3327,3459817,3461013,type II secretion system protein GspF,ECK3314,"gspF,hofF,hopF,b3327,ECK3314",G7705,,,,
ychA,b1214,1267320,1268129,transglutaminase-like/TPR repeat-containing protein,ECK1202,"ychA,sirB1,b1214,ECK1202",EG11251,,,,
insI2,b1404,1469358,1470509,IS30 transposase,ECK0258,"insI2,tra8-2,b1404,ECK0258",G6725,,,,
ucpA,b2426,2543832,2544623,oxidoreductase UcpA,ECK2421,"ucpA,yfeF,b2426,ECK2421",EG12133,,,,
queA,b0405,425011,426081,tRNA preQ134 S-adenosylmethionine ribosyltransferase-isomerase,ECK0399,"queA,tsaA,b0405,ECK0399",EG10812,,,,
motA,b1890,1976252,1977139,motility protein A,ECK1891,"motA,flaJ,b1890,ECK1891",EG10601,,,,
malH,b4807,4242531,4242633,small regulatory RNA MalH,ECK4664,"malH,b4807,ECK4664",G0-17082,,,,
ibaG,b3190,3336549,3336803,acid stress protein IbaG,ECK3179,"ibaG,yrbA,b3190,ECK3179",G7657,,,,
rhaD,b3902,4093448,4094272,rhamnulose-1-phosphate aldolase,ECK3895,"rhaD,b3902,ECK3895",EG11866,,,,
hdeB,b3509,3655966,3656292,periplasmic acid stress chaperone HdeB,ECK3493,"hdeB,yhiC,yhhD,b3509,ECK3493",EG11399,,,,
mdtC,b2076,2158386,2161463,multidrug efflux pump RND permease subunit MdtC,ECK2072,"mdtC,yegO,b2076,ECK2072",G7115,,,,
yfcA,b2327,2444751,2445560,putative transporter YfcA,ECK2321,"yfcA,b2327,ECK2321",EG11144,,,,
insE3,b0540,566842,567141,DLP12 prophage; IS3 element protein InsE,ECK0298,"insE3,b0540,ECK0298",G6296,,,,
tktA,b2935,3079644,3081635,transketolase 1,ECK2930,"tktA,tkt,b2935,ECK2930",EG11427,,,,
tusD,b3345,3475332,3475718,sulfurtransferase complex subunit TusD,ECK3332,"tusD,yheN,b3345,ECK3332",G7714,,,,
dgcQ,b1956,2026323,2028017,diguanylate cyclase DgcQ,ECK1954,"dgcQ,yedQ,b1956,ECK1954",G7049,,,,
sokC,b4413,16952,17010,small regulatory RNA antitoxin SokC,ECK0019,"sokC,sof,b4413,ECK0019",G0-9581,,,,
yghR,b2984,3132454,3133212,putative ATP-binding protein YghR,ECK2978,"yghR,b2984,ECK2978",G7550,,,,
xylB,b3564,3727917,3729371,xylulokinase,ECK3553,"xylB,b3564,ECK3553",EG11075,,,,
yjaA,b4011,4213234,4213617,stress response protein,ECK4003,"yjaA,b4011,ECK4003",EG11206,,,,
ynjC,b1755,1837212,1838747,putative ABC transporter membrane subunit YnjC,ECK1753,"ynjC,b1755,ECK1753",G6950,,,,
rlpA,b0633,664102,665190,rare lipoprotein RlpA,ECK0626,"rlpA,b0633,ECK0626",EG10854,,,,
insL1,b0016,15445,16557,IS186/IS421 transposase,ECK0016,"insL1,yi81-1,b0016,ECK0016",G6083,,,,
rhaR,b3906,4098646,4099494,DNA-binding transcriptional activator RhaR,ECK3899,"rhaR,rhaC1,b3906,ECK3899",EG10842,"rhaS,rhaR","b3905,b3906",,
tilS,b0188,212331,213629,tRNAIle-lysidine synthetase,ECK0187,"tilS,yaeN,mesJ,b0188,ECK0187",G6096,,,,
dgcN,b2604,2742383,2743609,diguanylate cyclase DgcN,ECK2601,"dgcN,yfiN,b2604,ECK2601",EG12880,,,,
aspX,b4825,4366839,4366951,small regulatory RNA AspX,ECK4682,"aspX,b4825,ECK4682",G0-17100,,,,
ygcQ,b2769,2894919,2895779,putative flavoprotein,ECK2764,"ygcQ,b2769,ECK2764",G7435,,,,
mglC,b2148,2236743,2237753,D-galactose/methyl-galactoside ABC transporter membrane subunit,ECK2141,"mglC,mglP,b2148,ECK2141",EG10594,,,,
bsmA,b4189,4416441,4416770,DUF1471 domain-containing putative lipoprotein BsmA,ECK4185,"bsmA,yjfO,b4189,ECK4185",G7852,,,,
ynfM,b1596,1669699,1670952,putative transporter YnfM,ECK1591,"ynfM,yzyC,b1596,ECK1591",G6854,,,,
eutN,b2456,2571763,2572050,putative ethanolamine catabolic microcompartment shell protein EutN,ECK2451,"eutN,yffY,cchB,b2456,ECK2451",G7286,,,,
insEF4,,1094275,1095437,IS3 element transposase,,insEF4,G0-10531,,,,
malM,b4037,4249554,4250474,maltose regulon periplasmic protein,ECK4029,"malM,molA,b4037,ECK4029",EG10559,,,,
dusA,b4049,4261669,4262706,tRNA-dihydrouridine synthase A,ECK4041,"dusA,yjbN,b4049,ECK4041",EG11932,,,,
cheY,b1882,1967048,1967437,"CheY-acetylated,CheY-P<sup>asp</sup>,chemotaxis protein CheY",ECK1883,"cheY,b1882,ECK1883",EG10150,,,,
sokB,b4429,1492119,1492175,putative small regulatory RNA antitoxin SokB,ECK1414,"sokB,b4429,ECK1414",G0-9611,,,,
yegL,b2073,2152469,2153128,IPR002035 domain-containing protein YegL,ECK2067,"yegL,b2073,ECK2067",G7112,,,,
malI,b1620,1698152,1699180,DNA-binding transcriptional repressor MalI,ECK1615,"malI,b1620,ECK1615",EG10557,,,"malX,malY,malI","b1621,b1622,b1620"
ygiN,b3029,3173142,3173456,putative quinol monooxygenase YgiN,ECK3020,"ygiN,b3029,ECK3020",EG12657,,,,
ycaM,b0899,947229,948659,putative transporter YcaM,ECK0890,"ycaM,b0899,ECK0890",G6466,,,,
yeaW,b1802,1884665,1885789,carnitine monooxygenase subunit YeaW,ECK1800,"yeaW,b1802,ECK1800",G6988,,,,
insH9,b2982,3130214,3131194,IS<i>5</i> transposase and trans-activator,ECK0261,"insH9,trs5-9,yi52_9,b2982,ECK0261",G7548,,,,
fucR,b2805,2939368,2940099,DNA-binding transcriptional activator FucR,ECK2800,"fucR,b2805,ECK2800",EG10353,"fucP,fucI,fucK,fucU,fucR,fucO,fucA","b2801,b2802,b2803,b2804,b2805,b2799,b2800",,
rlmD,b2785,2913699,2915000,23S rRNA m<sup>5</sup>U1939 methyltransferase,ECK2779,"rlmD,ygcA,rumA,b2785,ECK2779",EG11247,,,,
casC,b2758,2881051,2882142,type I-E CRISPR system Cascade subunit CasC,ECK2753,"casC,ygcJ,cse4,cas7,b2758,ECK2753",G7428,,,,
chiZ,b4808,708236,708333,small regulatory RNA ChiZ,ECK4665,"chiZ,b4808,ECK4665",G0-17083,,,,
ydhJ,b1644,1721264,1722121,putative membrane fusion protein YdhJ,ECK1640,"ydhJ,b1644,ECK1640",G6884,,,,
chbA,b1736,1819455,1819805,"<i>N,N'</i>-diacetylchitobiose-specific PTS enzyme IIA component",ECK1734,"chbA,celC,b1736,ECK1734",EG10142,,,,
yhbO,b3153,3298974,3299492,protein/nucleic acid deglycase 2,ECK3141,"yhbO,b3153,ECK3141",G7647,,,,
kdpB,b0697,724988,727036,K<sup>+</sup> transporting P-type ATPase subunit KdpB,ECK0685,"kdpB,kac,b0697,ECK0685",EG10514,,,,
ynbB,b1409,1478226,1479122,putative CDP-diglyceride synthase,ECK1402,"ynbB,b1409,ECK1402",G6728,,,,
insD1,b0361,381674,382579,IS2 element protein,ECK0358,"insD1,yi22-1,b0361,ECK0358",G6213,,,,
araB,b0063,68348,70048,ribulokinase,ECK0064,"araB,b0063,ECK0064",EG10053,,,,
rsmA,b0051,51609,52430,"16S rRNA m<sup>6</sup><sub>2</sub>A1518,m<sup>6</sup><sub>2</sub>A1519 dimethyltransferase",ECK0052,"rsmA,ksgA,b0051,ECK0052",EG10523,,,,
mukE,b0923,975622,976326,chromosome partitioning protein MukE,ECK0914,"mukE,kicA,ycbA,b0923,ECK0914",EG11252,,,,
rdlA,b4420,1269323,1269389,putative antisense regulatory RNA RdlA,ECK1205,"rdlA,b4420,ECK1205",G0-9603,,,,
ycdZ,b1036,1100296,1100787,inner membrane protein YcdZ,ECK1022,"ycdZ,nupT,b1036,ECK1022",G6542,,,,
hcaE,b2538,2669032,2670393,putative 3-phenylpropionate/cinnamate dioxygenase subunit &alpha;,ECK2535,"hcaE,yfhU,digA,phdC1,hcaA,hcaA1,b2538,ECK2535",M009,,,,
yodD,b1953,2024986,2025213,stress-induced protein,ECK1951,"yodD,b1953,ECK1951",G7046,,,,
ybeX,b0658,690906,691784,CorC-HlyC family protein YbeX,ECK0650,"ybeX,b0658,ECK0650",G6361,,,,
pdeI,b0833,872979,875327,putative c-di-GMP phosphodiesterase PdeI,ECK0823,"pdeI,yliE,b0833,ECK0823",G6433,,,,
insB9,b4710,257923,258426,IS1 transposase B,ECK4567,"insB9,b4710,ECK4567",G0-16637,,,,
dgoR,b4479,3874471,3875160,DNA-binding transcriptional regulator DgoR,ECK3687,"dgoR,yidW,b3695,b3694,b4479,ECK3687",G7789,,,"dgoR,dgoK,dgoA,dgoD,dgoT","b4479,b3693,b4477,b4478,b3691"
tsaC,b3282,3430843,3431415,L-threonylcarbamoyladenylate synthase,ECK3269,"tsaC,yrdC,rimN,b3282,ECK3269",G7698,,,,
cas1,b2755,2878855,2879772,multifunctional nuclease Cas1,ECK2750,"cas1,ygbT,b2755,ECK2750",G7425,,,,
sdhX,b4764,765050,765150,small regulatory RNA SdhX,ECK4621,"sdhX,rybD,b4764,ECK4621",G0-17009,,,,
sfmD,b0532,559697,562300,putative fimbrial usher protein SfmD,ECK0525,"sfmD,b0532,ECK0525",G6292,,,,
