b_number	dN/dS	dN	dS
b2386	0.03731	0.0335	0.8984
b2387	0.0692	0.0322	0.4646
b2388	0.04759	0.0208	0.4368
b2389	0.14919	0.0718	0.4812
b2390	NA	NA	NA
b2392	0.03097	0.0429	1.3835
b2393	NA	NA	NA
b2394	0.29281	0.0061	0.0209
b2395	NA	NA	NA
b2396	NA	NA	NA
b2397	0.0001	0	0.0004
b2398	0.1098	0.0309	0.2812
b2399	0.09855	0.0786	0.798
b2400	0.03528	0.0169	0.4792
b2401	NA	NA	NA
b2402	NA	NA	NA
b2403	389.3061	0.0001	0
b2404	999	0.0001	0
b2405	NA	NA	NA
b2406	0.01815	0.0471	2.5961
b2407	0.0422	0.09	2.1337
b2408	0.03592	0.131	3.647
b2409	0.10029	0.0406	0.405
b2410	0.07226	0.0248	0.3426
b4546	0.15562	0.0455	0.2921
b2411	0.06016	0.0215	0.3573
b2412	0.21013	0.0317	0.1509
b2413	NA	NA	NA
b2414	0.01625	0.0058	0.3569
b2415	0.0001	0	0.0657
b2416	0.09746	0.0116	0.1192
b2417	0.02628	0.0055	0.2088
b2418	0.10898	0.0535	0.4914
b2419	0.0614	0.0752	1.2255
b2420	NA	NA	NA
b2421	0.02941	0.0352	1.1975
b2422	0.03541	0.0396	1.118
b2423	0.01701	0.0253	1.4889
b2424	0.02394	0.0276	1.154
b2425	0.02415	0.0271	1.1216
b2426	0.04928	0.0281	0.5704
b2427	0.11086	0.0938	0.8463
b2428	0.0512	0.0653	1.2758
b2429	0.03524	0.0359	1.0176
b2430	NA	NA	NA
b2431	0.02259	0.0157	0.6944
b2432	0.10538	0.0399	0.3789
b2433	0.15082	0.0567	0.3757
b2434	0.14661	0.0305	0.2083
b2435	0.05186	0.0294	0.5676
b2436	0.07451	0.07	0.9399
b2437	0.06183	0.0411	0.6652
b2438	0.15377	0.0239	0.1552
b2439	0.04105	0.0391	0.9526
b2440	0.03295	0.03	0.9111
b2441	NA	NA	NA
b2442	0.05473	1.091	19.9323
b2443	NA	NA	NA
b2444	NA	NA	NA
b2445	NA	NA	NA
b2446	NA	NA	NA
b2447	1.489	5.1036	3.4276
b2448	1.04236	2.0263	1.9439
b2449	NA	NA	NA
b2450	NA	NA	NA
b2451	NA	NA	NA
b2452	0.01458	0.0132	0.9018
b2453	0.09671	0.1537	1.5898
b2454	0.06416	0.0464	0.7237
b2455	0.07091	0.046	0.6481
b2456	0.14261	0.0148	0.1034
b2457	0.03773	0.0114	0.303
b2458	0.16024	0.0578	0.3609
b2459	0.1092	0.0698	0.6391
b2460	0.06884	0.0757	1.0993
b2461	0.17795	0.0427	0.2402
b2462	0.04304	0.0224	0.5205
b2463	0.06622	0.0446	0.6739
b2464	0.03654	0.0141	0.3868
b2465	0.03794	0.0285	0.7515
b2466	NA	NA	NA
b2467	0.10178	0.0389	0.3823
b2468	0.06302	0.0375	0.5947
b2469	0.04167	0.0126	0.3031
b2470	0.01947	0.0092	0.4745
b4606	460.98184	164.3591	0.3565
b2471	0.38827	0.0793	0.2043
b2472	0.03375	0.0253	0.7484
b4547	0.03449	0.0065	0.1874
b2473	0.04557	0.026	0.5705
b2474	0.24367	0.1738	0.7132
b2475	0.02916	0.0141	0.4824
b2476	NA	NA	NA
b2477	0.08683	0.0128	0.1477
b2478	NA	NA	NA
b2479	0.0256	0.01	0.3902
b2480	NA	NA	NA
b2481	0.43878	0.0706	0.161
b2482	NA	NA	NA
b2483	NA	NA	NA
b2484	NA	NA	NA
b2485	NA	NA	NA
b2486	NA	NA	NA
b2487	0.13042	0.0273	0.2094
b2488	0.6925	0.1283	0.1853
b2489	0.11287	0.0412	0.3654
b2490	0.395	0.0982	0.2486
b2491	0.34758	0.0945	0.272
b2492	NA	NA	NA
b2493	0.02089	0.0138	0.6597
b2494	0.02553	0.0099	0.3897
b2495	0.18998	0.0529	0.2785
b2496	0.01914	0.0064	0.3347
b2497	NA	NA	NA
b2498	0.01249	0.0025	0.1969
b2499	0.04701	0.0192	0.4085
b2500	0.08971	0.0265	0.2955
b2501	0.01635	0.0083	0.5054
b2502	0.0231	0.0109	0.4729
b2503	NA	NA	NA
b2504	NA	NA	NA
b2505	0.06111	0.018	0.295
b2506	NA	NA	NA
b2507	0.01582	0.0084	0.5331
b2508	0.00642	0.005	0.7725
b2509	0.06652	1.0539	15.8437
b2510	NA	NA	NA
b2511	0.02024	0.0135	0.6655
b2512	0.08652	0.019	0.2195
b2513	0.21821	0.0232	0.1064
b2514	0.03577	0.0104	0.2902
b2515	0.04028	0.0116	0.2881
b2516	0.20247	0.0612	0.3022
b2517	0.01799	0.011	0.6098
b2518	0.04767	0.0104	0.2182
b2519	0.10561	0.084	0.795
b2520	NA	NA	NA
b2521	0.09693	0.0358	0.3696
b4440	NA	NA	NA
b2522	0.27008	0.0847	0.3137
b2523	0.0479	0.0402	0.8388
b2524	0.06296	0.0273	0.4342
b2525	0.04819	0.0202	0.4182
b2526	0.037	0.0214	0.5771
b2527	0.12848	0.0159	0.1235
b2528	0.02645	0.0065	0.2456
b2529	0.03123	0.0071	0.2284
b2530	0.00517	0.0023	0.4438
b2531	0.04539	0.0103	0.2265
b2532	0.02804	0.0193	0.6872
b2533	0.0051	0.0018	0.3482
b2534	0.13568	0.0816	0.6017
b2535	0.11997	0.0532	0.4433
b2536	0.0805	0.0358	0.4449
b4706	NA	NA	NA
b2537	0.14732	0.0147	0.1
b2538	0.05046	0.026	0.5162
b2539	NA	NA	NA
b2540	1.00446	2.7925	2.7801
b2541	1.14891	1.3244	1.1528
b2542	0.32076	0.0856	0.267
b2543	0.095	0.0347	0.3652
b2544	0.12336	0.0899	0.7289
b2545	0.03177	0.0303	0.9528
b2546	NA	NA	NA
b2547	0.10319	0.0876	0.8493
b2548	0.06869	0.0405	0.5899
b2549	0.03285	0.0329	1.0016
b2550	0.06954	0.0506	0.7272
b2551	0.01594	0.0077	0.4853
b2552	0.10153	0.0416	0.4096
b2553	0.02876	0.0131	0.4555
b2554	0.02721	0.0158	0.5803
b2555	0.23718	0.0754	0.3181
b2556	0.04822	0.0284	0.589
b4441	NA	NA	NA
b2557	0.04535	0.0511	1.1261
b2558	0.2571	1.1627	4.5224
b2559	0.04532	0.0183	0.4042
b2560	NA	NA	NA
b2561	0.03095	0.0224	0.7244
b2562	0.06504	0.0588	0.9037
b4687	3.9563	145.6298	36.8096
b4608	NA	NA	NA
b2563	0.06365	0.0387	0.6073
b2564	0.05296	0.0285	0.5382
b2565	0.05081	0.0198	0.3889
b2566	0.01013	0.0049	0.4867
b2567	0.0001	0	0.268
b2568	0.01629	0.0074	0.4538
b2569	0.01833	0.0079	0.4317
b2570	0.12915	0.0576	0.4458
b2571	0.04685	0.0121	0.259
b2572	0.06796	0.0188	0.2765
b2573	0.10964	0.0054	0.0489
b2574	NA	NA	NA
b2575	0.1449	0.1038	0.7164
b2576	0.05096	0.0144	0.2822
b2577	0.14993	0.1595	1.0641
b2578	0.19202	0.1093	0.5693
b2579	0.03749	0.0113	0.3004
b2580	0.0571	0.0401	0.7019
b2581	0.04172	0.022	0.5263
b2582	0.06679	0.0307	0.4594
b2583	0.11596	0.0837	0.7218
b2584	0.04215	0.0324	0.7688
b2585	0.05152	0.0129	0.2511
b2586	0.23816	0.1068	0.4483
b2587	NA	NA	NA
b2590	0.0001	0	0.0002
b2592	0.00979	0.004	0.4076
b4609	NA	NA	NA
b2593	NA	NA	NA
b2594	0.04846	0.0283	0.5839
b2595	0.125	0.0172	0.1373
b2597	0.25185	0.0179	0.0712
b2598	NA	NA	NA
b2599	0.04953	0.0271	0.5478
b2600	0.06396	0.0252	0.3937
b2601	0.04086	0.0104	0.2536
b2602	0.26127	0.0949	0.3633
b2603	0.24105	0.0418	0.1732
b2604	0.1436	0.0799	0.5567
b2605	0.18074	0.0429	0.2373
b2606	0.0001	0	0.0465
b2607	0.26061	0.0438	0.168
b2608	0.0001	0	0.1599
b2609	0.337	0.0057	0.0168
b2610	0.00773	0.0051	0.6542
b2611	0.01981	0.0056	0.2847
b4461	NA	NA	NA
b2614	0.02451	0.0116	0.4745
b2615	0.01895	0.0138	0.7287
b2616	0.06421	0.0279	0.4347
b2617	0.04776	0.0107	0.2243
b2618	0.0939	0.0292	0.3113
b2619	0.03526	0.0201	0.5696
b2620	0.03088	0.0119	0.3864
b2621	NA	NA	NA
b2622	NA	NA	NA
b2623	NA	NA	NA
b2624	0.59009	5.9434	10.072
b2625	0.15384	1.6776	10.9049
b2626	NA	NA	NA
b2627	NA	NA	NA
b2628	0.0001	0	0.0001
b2629	0.78088	2.804	3.5908
b2630	NA	NA	NA
b2631	NA	NA	NA
b2632	0.11226	0.7732	6.888
b2633	0.03136	1.2337	39.3342
b2634	NA	NA	NA
b2635	1.222	3.7397	3.0603
b2636	NA	NA	NA
b2637	0.79675	5.5787	7.0018
b2638	NA	NA	NA
b2641	NA	NA	NA
b2642	NA	NA	NA
b4644	NA	NA	NA
b2643	0.12773	0.4451	3.4844
b2644	0.06981	0.399	5.715
b4548	NA	NA	NA
b2645	0.15044	0.5541	3.6836
b2646	0.8727	1.2906	1.4789
b4645	NA	NA	NA
b2647	NA	NA	NA
b2648	NA	NA	NA
b2650	NA	NA	NA
b2652	999	0.0244	0
b4462	NA	NA	NA
b2659	0.0738	0.0684	0.9268
b2660	0.08117	0.0908	1.1188
b2661	NA	NA	NA
b2662	0.04601	0.0737	1.6029
b2663	0.02905	0.0246	0.8483
b2664	NA	NA	NA
b2665	0.05787	0.0215	0.3716
b2666	0.07327	0.0172	0.2353
b2667	0.18276	0.041	0.2243
b2668	0.11019	0.0331	0.3003
b2669	0.1518	0.0282	0.1859
b2670	0.19657	0.0338	0.1721
b2671	0.05947	0.0212	0.3572
b2672	0.06369	0.0307	0.4817
b2673	0.05904	0.0159	0.2687
b2674	0.24939	0.0546	0.2188
b2675	0.08422	0.0624	0.7405
b2676	0.044	0.0239	0.5424
b2677	0.03797	0.0145	0.3825
b2678	0.04293	0.02	0.4652
b2679	0.036	0.0203	0.5636
b2681	0.08783	0.0527	0.6004
b2682	0.1365	0.0126	0.0921
b2683	0.4427	0.0763	0.1723
b2684	0.2008	0.0148	0.0735
b2685	0.02299	0.0104	0.4502
b2686	0.01321	0.0094	0.7106
b2687	0.1168	0.0252	0.2161
b4442	NA	NA	NA
b2688	0.03806	0.0217	0.5696
b2689	0.0635	0.0167	0.2625
b2690	0.11361	0.0498	0.4384
b2691	999	0.0001	0
b2692	NA	NA	NA
b2693	NA	NA	NA
b2694	NA	NA	NA
b2695	0.55824	0.0439	0.0787
b2696	0.0001	0	0.0227
b2697	NA	NA	NA
b2698	0.2192	0.0477	0.2175
b2699	0.0001	0	0.2149
b2700	0.09702	0.0428	0.4406
b2701	0.04092	0.0351	0.8568
b2702	NA	NA	NA
b2703	0.05231	0.0234	0.4473
b2704	0.55757	0.255	0.4573
b2705	0.00572	0.0051	0.8918
b2706	0.15333	0.0409	0.2669
b2707	NA	NA	NA
b2708	0.05123	0.0484	0.9458
b2709	0.0683	0.0609	0.8914
b2710	0.04884	0.0298	0.6108
b2711	0.15374	0.0957	0.6225
b2712	0.12151	0.1284	1.0571
b2713	0.03791	0.0234	0.6171
b2714	0.11604	0.0727	0.6267
b2715	0.14892	0.0872	0.5855
b2716	0.06825	0.0928	1.3602
b2717	0.01754	0.0255	1.4516
b2718	0.09651	0.0461	0.4778
b2719	0.03352	0.0379	1.131
b2720	0.05073	0.0453	0.8929
b2721	0.00911	0.0113	1.2452
b2722	0.03131	0.0299	0.9535
b2723	0.04295	0.0325	0.7573
b2724	0.05049	0.026	0.515
b2725	0.16876	0.0427	0.2532
b2726	0.17078	0.013	0.0759
b2727	NA	NA	NA
b2728	0.06549	0.0156	0.2383
b2729	0.02131	0.0191	0.894
b2730	0.04228	0.0299	0.7063
b2731	NA	NA	NA
b2732	0.10335	0.0361	0.3491
b2733	0.01179	0.0162	1.3739
b2734	0.27988	0.4077	1.4568
b2735	0.14111	0.0274	0.1941
b2736	NA	NA	NA
b2737	0.26311	0.0551	0.2096
b2738	0.23758	0.0347	0.1459
b2739	0.30665	0.0409	0.1335
b2740	NA	NA	NA
b2741	NA	NA	NA
b2742	0.10435	0.0262	0.2506
b2743	0.06668	0.0183	0.2747
b2744	0.02753	0.0192	0.698
b2745	0.1188	0.0478	0.4022
b2746	0.05416	0.0217	0.4007
b2747	0.08703	0.041	0.4708
b2748	0.04609	0.0047	0.1014
b2749	0.10538	0.0562	0.5335
b2750	0.07704	0.0248	0.3221
b2751	0.05466	0.0466	0.853
b2752	0.03669	0.0241	0.6565
b2753	0.04929	0.0467	0.948
b2754	0.01064	1.4329	134.6965
b2755	0.02699	0.0969	3.5898
b2756	NA	NA	NA
b2757	NA	NA	NA
b2758	NA	NA	NA
b2759	NA	NA	NA
b2760	NA	NA	NA
b2761	NA	NA	NA
b4701	NA	NA	NA
b2762	0.05679	0.0464	0.8164
b2763	0.01824	0.0238	1.3029
b2764	0.06052	0.0573	0.9465
b2765	0.04711	0.0197	0.4183
b2766	0.18894	0.1211	0.641
b2767	NA	NA	NA
b2768	0.04863	0.0399	0.8211
b2769	NA	NA	NA
b2770	0.414	0.1903	0.4596
b2771	0.13515	0.0415	0.3073
b4463	0.73561	4.7445	6.4498
b2774	0.04201	0.0511	1.2167
b2775	0.02498	0.0117	0.4686
b2776	0.06944	0.07	1.0075
b2777	0.04631	0.0304	0.6562
b4682	NA	NA	NA
b2778	NA	NA	NA
b2779	0.00378	0.0011	0.2844
b2780	0.02921	0.007	0.2382
b2781	0.10014	0.0521	0.5204
b2782	NA	NA	NA
b2783	0.26776	0.0379	0.1414
b2784	NA	NA	NA
b2785	0.20906	0.053	0.2537
b2786	0.07026	0.028	0.3989
b2787	0.04499	0.0304	0.6756
b2788	0.06372	0.0406	0.6368
b2789	0.02775	0.0119	0.4271
b2790	0.1637	0.0611	0.3732
b2791	0.02419	0.0108	0.4484
b2792	0.20496	0.0654	0.319
b4408	1.07955	38.4097	35.5793
b2793	0.11927	0.0265	0.2218
b2794	0.12776	0.0406	0.3175
b2795	0.01832	0.009	0.4936
b2796	0.01629	0.0047	0.2878
b2797	NA	NA	NA
b2798	0.12209	0.0336	0.2751
b2799	0.08407	0.0345	0.4105
b2800	NA	NA	NA
b2801	NA	NA	NA
b2802	NA	NA	NA
b2803	0.1208	0.0436	0.3608
b2804	0.01783	0.0035	0.1977
b2805	NA	NA	NA
b2806	NA	NA	NA
b2807	0.04683	0.0143	0.3063
b2808	0.01591	0.0047	0.2973
b4443	39.48868	99.9552	2.5312
b2809	0.29864	0.0114	0.0382
b2810	0.09008	0.0576	0.6393
b2811	0.15919	0.0897	0.5633
b2812	0.0491	0.0294	0.5982
b2813	0.11311	0.0125	0.1101
b2814	0.0001	0	0.0002
b2815	NA	NA	NA
b2816	NA	NA	NA
b2817	0.08405	0.0641	0.7623
b2818	0.01882	0.0103	0.5477
b2819	0.05582	0.042	0.7533
b2820	0.095	0.0621	0.6536
b2821	0.0512	0.0386	0.754
b2822	0.06023	0.0327	0.5427
b2823	0.49809	0.0646	0.1298
b2824	0.42226	0.1329	0.3148
b2825	0.2889	0.0731	0.2529
b2826	0.1627	0.0424	0.2608
b2827	0.01451	0.0091	0.6274
b2828	0.01433	0.0064	0.446
b2829	0.04005	0.0109	0.2731
b2830	0.10052	0.012	0.1196
b2831	0.06192	0.0216	0.3489
b2832	0.00588	0.3215	54.6637
b2833	0.85762	1.0251	1.1952
b2834	0.14762	0.0724	0.4903
b2835	0.08875	0.0286	0.3225
b2836	0.05331	0.0254	0.4767
b4444	0.00773	1.8524	239.5851
b4445	NA	NA	NA
b2837	0.05089	0.0154	0.3016
b2838	0.07812	0.0268	0.3435
b2839	0.185	0.0446	0.241
b2840	0.10071	0.0335	0.3323
b2841	0.02628	0.0104	0.3954
b2842	0.07212	0.0233	0.3237
b2843	0.06842	0.0264	0.3855
b2844	0.06839	0.0313	0.4581
b2845	0.05836	0.0163	0.279
b2846	NA	NA	NA
b2847	NA	NA	NA
b2848	NA	NA	NA
b4683	NA	NA	NA
b2849	NA	NA	NA
b2850	NA	NA	NA
b2851	0.03566	0.0233	0.6537
b2852	NA	NA	NA
b2853	0.71253	12.3258	17.2987
b2854	NA	NA	NA
b2856	NA	NA	NA
b2858	NA	NA	NA
b2859	0.28319	2.6225	9.2605
b2860	NA	NA	NA
b2861	0.0001	0	0.2464
b2863	NA	NA	NA
b2864	NA	NA	NA
b2865	NA	NA	NA
b2866	0.06883	0.0226	0.3281
b2867	0.10228	0.0586	0.5731
b2868	0.11522	0.0486	0.4214
b2869	0.19703	0.0504	0.2558
b2870	0.05726	0.0369	0.6437
b2871	0.01306	0.0083	0.636
b2872	0.09738	0.0567	0.5819
b2873	NA	NA	NA
b2874	0.03165	0.015	0.4727
b2875	0.02393	0.0062	0.2606
b2876	0.2485	0.0479	0.1926
b2877	0.1013	0.0495	0.489
b2878	0.06583	0.0478	0.7268
b2879	NA	NA	NA
b2880	0.13752	0.0636	0.4622
b2881	0.09487	0.0465	0.4906
b2882	0.02783	0.0134	0.4799
b2883	0.11799	0.0521	0.4419
b4464	0.02486	0.011	0.4432
b2886	0.09599	0.0511	0.5322
b2887	0.01346	0.0082	0.6087
b2888	0.02571	0.0142	0.554
b4684	1.67529	64.6884	38.6134
b2889	0.08648	0.0549	0.6354
b2890	0.01094	0.0069	0.6332
b2891	NA	NA	NA
b2892	NA	NA	NA
b2893	0.0001	0	0.3312
b2894	0.07355	0.0214	0.2916
b2895	NA	NA	NA
b2896	0.10435	0.0354	0.3391
b2897	0.03515	0.007	0.1983
b2898	0.12089	0.074	0.6117
b2899	0.02993	0.0115	0.3849
b2900	0.13544	0.0776	0.5727
b2901	NA	NA	NA
b2902	0.08198	0.0199	0.2427
b2903	0.03499	0.0266	0.7603
b2904	0.12081	0.042	0.3479
b2905	0.04263	0.0226	0.5307
b2906	NA	NA	NA
b2907	0.07448	0.0609	0.8177
b2908	0.06823	0.0587	0.8602
b2909	0.03599	0.0107	0.2981
b2910	0.0001	0	0.0558
b2911	0.62027	2.1834	3.52
b2912	0.20481	1.2235	5.9739
b4446	0.67575	4.2079	6.227
b4665	NA	NA	NA
b2913	0.02073	0.0093	0.4506
b2914	NA	NA	NA
b2915	0.49644	0.1569	0.3161
b2916	0.02656	0.0119	0.4465
b2917	0.54186	1.0563	1.9494
b2918	0.20297	0.0391	0.1924
b2919	0.05825	0.0155	0.2667
b2920	0.06767	0.0139	0.2059
b2921	0.22806	0.0981	0.4302
b2922	0.05024	0.0182	0.3618
b2923	0.05621	0.0251	0.4465
b2924	0.06931	0.0185	0.2666
b2925	0.02116	0.0079	0.371
b2926	0.02037	0.0039	0.1918
b2927	0.06061	0.0101	0.1675
b2928	NA	NA	NA
b2929	0.38542	0.1269	0.3293
b2930	0.02563	0.0119	0.4636
b4465	NA	NA	NA
b2933	0.0447	0.0325	0.7273
b2934	0.28968	0.1354	0.4675
b2935	0.05083	0.0257	0.5049
b2936	NA	NA	NA
b2937	0.01612	0.0228	1.4141
b2938	0.00815	0.0074	0.9086
b2939	0.33891	0.04	0.118
b2940	NA	NA	NA
b2942	0.0001	0	0.2297
b2943	NA	NA	NA
b2944	0.05457	0.0363	0.6652
b2945	0.09497	0.0514	0.5414
b2946	0.11061	0.0268	0.2423
b2947	0.09886	0.0468	0.473
b2948	NA	NA	NA
b2949	0.04271	0.0352	0.8231
b2950	0.06092	0.0617	1.0123
b2951	0.09832	0.0228	0.2317
b2952	0.00986	0.0054	0.5445
b2953	0.20351	0.056	0.2751
b2954	0.07556	0.0479	0.634
b2955	0.05512	0.0851	1.5445
b2956	0.25564	0.0768	0.3002
b2957	0.06669	0.0309	0.4627
b2958	0.01961	0.0059	0.2994
b2959	0.21761	0.0322	0.1479
b2960	0.15155	0.029	0.1915
b2961	0.07251	0.0382	0.5268
b2962	0.02669	0.0045	0.1694
b2963	0.05333	0.0231	0.4332
b2964	0.04213	0.0155	0.3681
b2965	0.17623	0.0709	0.4021
b2966	0.10741	0.0487	0.453
b2967	0.0001	0	0.0005
b2968	0.43993	1.6432	3.735
b2969	0.21635	0.2177	1.0061
b2970	0.76137	3.2693	4.294
b2971	NA	NA	NA
b2972	NA	NA	NA
b4466	0.19346	0.6247	3.2289
b2975	0.02768	0.0222	0.8011
b2976	0.12101	0.0762	0.6296
b2977	NA	NA	NA
b4467	NA	NA	NA
b4468	0.1488	0.0736	0.4943
b2979	NA	NA	NA
b2980	0.11847	0.0425	0.3583
b2981	NA	NA	NA
b2982	#N/A	#N/A	#N/A
b2983	0.13388	0.1233	0.9207
b2984	0.09157	0.0427	0.4658
b2985	NA	NA	NA
b2986	0.05885	0.0469	0.7971
b2987	0.06717	0.0647	0.964
b2988	0.03279	0.0694	2.1164
b2989	NA	NA	NA
b2990	0.05484	0.0125	0.2286
b2991	0.09785	0.035	0.3579
b2992	0.1752	0.0644	0.3677
b2993	0.09082	0.0504	0.5554
b2994	0.01556	0.0145	0.9302
b2995	0.02416	0.0057	0.2376
b2996	0.04012	0.0194	0.4844
b2997	0.02913	0.0091	0.3137
b2998	0.2053	0.0244	0.119
b4658	NA	NA	NA
b3001	NA	NA	NA
b3002	NA	NA	NA
b3003	0.0861	0.039	0.4533
b3005	0.02267	0.0099	0.4356
b3006	0.03489	0.0129	0.3705
b3008	0.10392	0.0618	0.5949
b3009	NA	NA	NA
b3010	0.14018	0.053	0.378
b3011	0.04565	0.0173	0.3798
b3012	0.06327	0.0271	0.4287
b3013	0.45199	0.169	0.3739
b3014	0.15284	0.0614	0.402
b4469	0.02442	0.0247	1.0099
b3017	0.01509	0.0078	0.5144
b3018	0.01495	0.007	0.4717
b3019	0.0392	0.0144	0.367
b3020	0.20619	0.0427	0.2073
b3021	NA	NA	NA
b3022	NA	NA	NA
b3023	0.16471	0.0915	0.5554
b3024	0.08578	0.0318	0.3704
b3025	0.16878	0.036	0.2131
b3026	0.14755	0.0615	0.417
b3027	3.12915	7.2979	2.3322
b3028	0.06869	0.0337	0.4912
b3029	NA	NA	NA
b3030	0.01135	0.0092	0.8121
b3031	0.04123	0.0099	0.2399
b3032	0.04566	0.0194	0.4244
b3033	0.16227	0.0183	0.1126
b3034	NA	NA	NA
b3035	0.03123	0.0134	0.4286
b3037	NA	NA	NA
b3038	0.0189	0.0099	0.522
b3039	0.07522	0.0743	0.9876
b3040	0.01762	0.0095	0.5384
b3041	0.03567	0.0173	0.4855
b3042	0.28564	0.1777	0.6222
b3043	0.05634	1.2353	21.9262
b3046	NA	NA	NA
b3044	NA	NA	NA
b3045	NA	NA	NA
b3047	0.06647	0.4136	6.2226
b3048	0.10428	0.9753	9.3527
b3049	0.01407	0.0063	0.4474
b3050	0.17997	0.1039	0.5773
b3051	0.08905	0.1329	1.4929
b4447	NA	NA	NA
b4664	NA	NA	NA
b4611	NA	NA	NA
b4666	NA	NA	NA
b3052	0.02297	0.0156	0.6808
b3053	0.13853	0.0904	0.6528
b3054	0.13228	0.0779	0.5887
b3055	0.03295	0.0117	0.354
b3056	0.10316	0.0523	0.5071
b3057	NA	NA	NA
b3058	0.06896	0.0199	0.288
b3059	0.01388	0.0047	0.3408
b3060	0.04011	0.0217	0.5419
b3061	0.088	0.0545	0.6192
b3062	0.04477	0.0255	0.5686
b3063	0.16479	0.1072	0.6505
b3064	0.02522	0.0214	0.8493
b3065	999	0.0124	0
b3066	0.04595	0.0118	0.256
b3067	999	0.0027	0
b3068	0.05757	0.032	0.5553
b3069	0.44808	0.0494	0.1103
b3070	0.22383	0.0997	0.4455
b3071	0.09518	0.0642	0.6749
b3072	0.10742	0.0576	0.536
b3073	0.04356	0.0251	0.5761
b3074	0.04731	0.0221	0.4675
b3075	0.08865	0.0597	0.674
b3076	0.06616	0.0462	0.6984
b3077	0.20344	0.1147	0.5637
b3078	0.0001	0	0.3633
b3079	0.03919	0.0251	0.6396
b3080	0.09845	0.0767	0.7791
b3081	0.06805	0.0936	1.376
b3082	NA	NA	NA
b3083	0.05317	7.5293	141.6169
b3084	0.04056	0.0394	0.9705
b3085	0.06399	0.0463	0.7231
b3086	0.09255	0.1701	1.8382
b3087	0.07531	0.0604	0.8022
b3088	0.04182	0.0283	0.6778
b3089	NA	NA	NA
b3090	NA	NA	NA
b3091	0.03529	0.0226	0.6411
b3092	0.02242	0.0101	0.4526
b3093	0.01787	0.0082	0.4595
b3094	0.01944	0.0182	0.9338
b3095	0.04998	0.0097	0.195
b3096	0.18859	0.0433	0.2294
b3097	0.38704	0.0243	0.0627
b3098	0.07248	0.0096	0.1331
b3099	0.4	        -nan	0.1212
b3100	NA	NA	NA
b3101	0.04707	0.0356	0.7554
b3102	0.07917	0.04	0.5051
b3103	NA	NA	NA
b3104	0.15521	0.1327	0.8553
b3105	0.03409	0.0115	0.3371
b3106	0.27518	0.0993	0.3609
b3107	NA	NA	NA
b4470	0.06067	0.0249	0.41
b3110	0.06966	0.0222	0.3182
b4471	0.08062	0.0311	0.3859
b3113	0.06423	0.0147	0.2286
b3114	0.03555	0.0259	0.7287
b3115	0.06186	0.4595	7.4268
b3116	0.02975	0.0067	0.2245
b3117	NA	NA	NA
b3118	0.06397	0.0151	0.2366
b3119	6.13816	87.6691	14.2826
b3120	NA	NA	NA
b3121	NA	NA	NA
b3123	NA	NA	NA
b3124	0.0914	0.0321	0.3509
b3125	0.06509	0.0193	0.2966
b3126	NA	NA	NA
b3127	0.03325	0.0148	0.4451
b3128	0.03281	0.0181	0.5508
b3129	NA	NA	NA
b3130	0.72764	2.4835	3.4132
b3131	0.06041	0.0348	0.5759
b3132	0.13453	0.0602	0.4473
b3133	0.10185	0.0363	0.3566
b3134	0.00773	0.004	0.5118
b3135	NA	NA	NA
b3136	0.08644	0.0568	0.6567
b3137	NA	NA	NA
b3138	0.28937	0.5854	2.023
b3139	0.05353	0.0169	0.3156
b3140	0.05149	0.0205	0.3979
b3141	NA	NA	NA
b3142	NA	NA	NA
b3143	0.18673	0.552	2.9564
b3144	0.12757	0.6218	4.8741
b3145	NA	NA	NA
b3146	0.03527	0.0209	0.5914
b3147	NA	NA	NA
b3148	0.38699	0.0711	0.1837
b3149	0.03235	0.0083	0.2566
b3150	0.04909	0.0207	0.4212
b3151	NA	NA	NA
b3152	0.05055	0.0421	0.833
b3153	NA	NA	NA
b3154	0.09958	0.0618	0.6206
b3155	0.26586	0.115	0.4327
b3156	0.02169	0.0064	0.2932
b3157	0.16613	0.0232	0.1395
b3158	0.04122	0.0231	0.5612
b3159	0.04526	0.0365	0.8073
b3160	0.03173	0.0342	1.0762
b3161	0.02382	0.0292	1.2262
b3162	0.01132	0.004	0.3559
b4685	NA	NA	NA
b3163	0.24859	0.0088	0.0356
b3164	0.03427	0.0128	0.3742
b4449	NA	NA	NA
b3165	0.61932	0.0063	0.0102
b3166	0.01408	0.0077	0.5443
b3167	0.03553	0.0067	0.1887
b3168	0.0197	0.0065	0.3304
b3169	0.03866	0.0091	0.2364
b3170	0.0001	0	0.06
b3171	NA	NA	NA
b3172	0.03531	0.019	0.5382
b3173	NA	NA	NA
b3174	NA	NA	NA
b3175	NA	NA	NA
b3176	0.01962	0.0119	0.6087
b3177	0.03152	0.0102	0.3231
b3178	0.0001	0	0.162
b3179	0.05728	0.0061	0.1062
b3180	0.09446	0.0049	0.0515
b3181	0.0412	0.0093	0.226
b3182	NA	NA	NA
b3183	0.02039	0.0112	0.5468
b3184	NA	NA	NA
b3185	0.19779	0.016	0.0811
b3186	0.0001	0	0.0197
b3187	0.05976	0.018	0.3017
b3188	NA	NA	NA
b3189	0.01875	0.0059	0.315
b3190	0.0001	0	0.0718
b3191	0.06553	0.0254	0.3882
b3192	0.03364	0.013	0.3855
b3193	0.02217	0.0055	0.2484
